pair,timeframe,direction,quality,confidence,consensus,entry_score,risk_reward,regime,kalman_direction,kalman_trend_state,trend_vs_kalman_conflict,confidence_minus_quality,approved,reject_reason,institutional_score,structural_score,market_score,momentum_score,liquidity_score,risk_score,confidence_score_scanner,flow_score,timing_index,conviction_score,entry_score_scanner
BDXUSDT,4h,long,0.4512,0.6897,0.75,0.6044,0.0,volatile,DOWN,continuing,False,0.2385,False,ADX 19.1 < 25,0.4687,0.191,0.4336,0.4558,0.958,0.2489,0.6897,0.5,0.469,0.4939,0.6044
BEONUSDT,1h,short,0.6572,0.8405,0.7,0.0,0.0,trending_down,DOWN,continuing,False,0.1833,False,Entry Zone FAIL (score 0.00 < 0.4),0.7035,0.5132,0.8535,0.5062,0.916,0.8982,0.8405,0.6,0.66,0.8522,0.0
BEONUSDT,30m,short,0.6153,0.7657,0.7,0.3503,0.0,trending_down,DOWN,continuing,False,0.1504,False,RVOL 0.63 < 0.7,0.6858,0.5939,0.8535,0.3655,0.916,0.9053,0.7657,0.5,0.56,0.7463,0.3503
BEONUSDT,4h,short,0.467,0.6299,0.7,0.0,0.0,trending_down,DOWN,continuing,False,0.1629,False,RVOL 0.28 < 0.7,0.5274,0.1903,0.8535,0.2962,0.916,0.8702,0.6299,0.2,0.46,0.4963,0.0
BERAUSDT,1d,short,0.6895,0.7435,0.73,0.0,0.0,ranging,DOWN,continuing,False,0.054,False,RVOL 0.56 < 0.7,0.7516,0.9974,0.4382,0.5922,0.916,0.7598,0.7435,0.6,0.772,0.9324,0.0
BERAUSDT,4h,short,0.659,0.7465,0.73,0.0,0.0,ranging,DOWN,continuing,False,0.0875,False,RVOL 0.43 < 0.7,0.645,0.514,0.4382,0.4464,0.916,0.7177,0.7465,1.0,0.722,0.9869,0.0
BERAUSDT,1h,short,0.5624,0.6661,0.73,0.0,0.0,ranging,DOWN,continuing,False,0.1037,False,RVOL 0.66 < 0.7,0.6143,0.5937,0.4382,0.4913,0.916,0.7247,0.6661,0.5,0.52,0.7716,0.0
BERAUSDT,30m,short,0.5378,0.7459,0.73,0.7222,0.0,ranging,DOWN,continuing,False,0.2081,False,RVOL 0.55 < 0.7,0.5945,0.5139,0.4382,0.4704,0.916,0.7177,0.7459,0.46,0.453,0.6907,0.7222
BERTUSDT,1d,short,0.5881,0.7426,0.72,0.0,0.0,ranging,DOWN,continuing,False,0.1545,False,RVOL 0.64 < 0.7,0.5959,0.5134,0.4192,0.4879,0.916,0.5982,0.7426,0.6,0.718,0.8557,0.0
BERTUSDT,4h,short,0.5409,0.7434,0.72,0.4713,0.0,ranging,DOWN,continuing,False,0.2025,False,RVOL 0.44 < 0.7,0.5801,0.5134,0.4192,0.4485,0.916,0.5982,0.7434,0.5,0.519,0.7327,0.4713
BERTUSDT,30m,long,0.5315,0.7467,0.72,0.5699,0.0,ranging,UP,continuing,False,0.2152,False,RVOL 0.58 < 0.7,0.5705,0.514,0.4192,0.475,0.916,0.5982,0.7467,0.36,0.6,0.7104,0.5699
BERTUSDT,1h,short,0.504,0.7439,0.72,0.6764,0.0,ranging,UP,reversing,False,0.2399,False,Quality 0.50 < 0.6,0.5757,0.5135,0.4192,0.5124,0.916,0.5982,0.7439,0.36,0.489,0.4625,0.6764
BMTUSDT,1d,short,0.6507,0.8628,0.79,0.0,0.0,trending_down,DOWN,reversing,False,0.2121,False,RVOL 0.52 < 0.7,0.7144,0.5137,0.8875,0.6442,0.958,0.8028,0.8628,0.46,0.66,0.7828,0.0
BMTUSDT,1h,short,0.6339,0.8625,0.79,0.2417,0.0,trending_down,DOWN,continuing,False,0.2286,False,Entry Zone FAIL (score 0.24 < 0.4),0.7138,0.5135,0.8875,0.5736,0.958,0.8028,0.8625,0.56,0.498,0.6975,0.2417
BMTUSDT,30m,long,0.5264,0.7221,0.79,0.3,0.0,trending_down,DOWN,continuing,False,0.1957,False,Sem BOS ou CHoCH confirmado,0.5884,0.1913,0.8875,0.5602,0.958,0.7747,0.7221,0.3,0.499,0.5521,0.3
BMTUSDT,4h,short,0.5218,0.7203,0.79,0.0,0.0,trending_down,DOWN,continuing,False,0.1985,False,RVOL 0.53 < 0.7,0.5738,0.191,0.8875,0.4651,0.958,0.7747,0.7203,0.3,0.499,0.6193,0.0
BNKRUSDT,1h,long,0.7031,0.8623,0.72,0.4534,0.0,trending_down,DOWN,continuing,False,0.1592,False,Descalibracao Confianca-Qualidade: 0.16 (limite 0.1),0.7311,0.5132,0.875,0.6977,0.916,0.5326,0.8623,0.9,0.66,0.9179,0.4534
BNKRUSDT,1d,short,0.6881,0.8633,0.72,0.0,0.0,trending_down,DOWN,continuing,False,0.1752,False,RVOL 0.67 < 0.7,0.7076,0.5134,0.875,0.6734,0.916,0.5326,0.8633,0.7,0.76,0.9716,0.0
